LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
AQ,8,45965,22.02,33.03,47497,22.76,34.14,49030,23.49,35.24,50563,24.23,36.35,52095,24.96,37.44,53628,25.70,38.55,55161,26.43,39.65,56693,27.16,40.19,58226,27.90,40.19,59759,28.63,40.19
AQ,9,50769,24.33,36.50,52461,25.14,37.71,54154,25.95,38.93,55846,26.76,40.14,57539,27.57,40.19,59231,28.38,40.19,60923,29.19,40.19,62616,30.00,40.19,64308,30.81,40.19,66001,31.62,40.19
AQ,10,55909,26.79,40.19,57772,27.68,40.19,59636,28.57,40.19,61500,29.47,40.19,63364,30.36,40.19,65227,31.25,40.19,67091,32.15,40.19,68955,33.04,40.19,70818,33.93,40.19,72682,34.83,40.19
AQ,11,61425,29.43,40.19,63472,30.41,40.19,65520,31.39,40.19,67568,32.38,40.19,69616,33.36,40.19,71664,34.34,40.19,73711,35.32,40.19,75759,36.30,40.19,77807,37.28,40.19,79855,38.26,40.19
AQ,12,73623,35.28,40.19,76077,36.45,40.19,78532,37.63,40.19,80986,38.80,40.19,83440,39.98,40.19,85894,41.16,41.16,88348,42.33,42.33,90802,43.51,43.51,93256,44.68,44.68,95710,45.86,45.86
AQ,13,87547,41.95,41.95,90465,43.35,43.35,93384,44.75,44.75,96302,46.14,46.14,99220,47.54,47.54,102139,48.94,48.94,105057,50.34,50.34,107975,51.74,51.74,110893,53.14,53.14,113812,54.53,54.53
AQ,14,103455,49.57,49.57,106903,51.22,51.22,110352,52.88,52.88,113800,54.53,54.53,117249,56.18,56.18,120697,57.83,57.83,124146,59.49,59.49,127594,61.14,61.14,131043,62.79,62.79,134491,64.44,64.44
AQ,15,121690,58.31,58.31,125747,60.25,60.25,129803,62.20,62.20,133859,64.14,64.14,137915,66.08,66.08,141972,68.03,68.03,146028,69.97,69.97,150084,71.91,71.91,154140,73.86,73.86,158196,75.80,75.80
ATL,1,22760,10.91,16.37,23522,11.27,16.91,24279,11.63,17.45,25032,11.99,17.99,25789,12.36,18.54,26231,12.57,18.86,26979,12.93,19.40,27735,13.29,19.94,27764,13.30,19.95,28475,13.64,20.46
ATL,2,25590,12.26,18.39,26200,12.55,18.83,27047,12.96,19.44,27764,13.30,19.95,28079,13.45,20.18,28905,13.85,20.78,29731,14.25,21.38,30558,14.64,21.96,31384,15.04,22.56,32210,15.43,23.15
ATL,3,27921,13.38,20.07,28852,13.82,20.73,29782,14.27,21.41,30713,14.72,22.08,31643,15.16,22.74,32574,15.61,23.42,33504,16.05,24.08,34435,16.50,24.75,35365,16.95,25.43,36296,17.39,26.09
ATL,4,31345,15.02,22.53,32390,15.52,23.28,33434,16.02,24.03,34479,16.52,24.78,35523,17.02,25.53,36567,17.52,26.28,37612,18.02,27.03,38656,18.52,27.78,39700,19.02,28.53,40745,19.52,29.28
ATL,5,35070,16.80,25.20,36239,17.36,26.04,37408,17.92,26.88,38577,18.48,27.72,39747,19.05,28.58,40916,19.61,29.42,42085,20.17,30.26,43254,20.73,31.10,44423,21.29,31.94,45593,21.85,32.78
ATL,6,39091,18.73,28.10,40394,19.36,29.04,41696,19.98,29.97,42998,20.60,30.90,44301,21.23,31.85,45603,21.85,32.78,46906,22.48,33.72,48208,23.10,34.65,49511,23.72,35.58,50813,24.35,36.53
ATL,7,43441,20.82,31.23,44889,21.51,32.27,46336,22.20,33.30,47784,22.90,34.35,49232,23.59,35.39,50680,24.28,36.42,52128,24.98,37.47,53576,25.67,38.51,55024,26.37,39.56,56471,27.06,40.59
ATL,8,48109,23.05,34.58,49713,23.82,35.73,51317,24.59,36.89,52921,25.36,38.04,54526,26.13,39.20,56130,26.90,40.35,57734,27.66,41.49,59338,28.43,42.06,60942,29.20,42.06,62546,29.97,42.06
ATL,9,53137,25.46,38.19,54909,26.31,39.47,56680,27.16,40.74,58451,28.01,42.02,60223,28.86,42.06,61994,29.70,42.06,63765,30.55,42.06,65537,31.40,42.06,67308,32.25,42.06,69079,33.10,42.06
ATL,10,58517,28.04,42.06,60467,28.97,42.06,62418,29.91,42.06,64369,30.84,42.06,66319,31.78,42.06,68270,32.71,42.06,70221,33.65,42.06,72171,34.58,42.06,74122,35.52,42.06,76073,36.45,42.06
ATL,11,64290,30.80,42.06,66433,31.83,42.06,68577,32.86,42.06,70720,33.89,42.06,72863,34.91,42.06,75007,35.94,42.06,77150,36.97,42.06,79293,37.99,42.06,81436,39.02,42.06,83580,40.05,42.06
