LOCNAME,GRADE,ANNUAL1,HOURLY1,OVERTIME1,ANNUAL2,HOURLY2,OVERTIME2,ANNUAL3,HOURLY3,OVERTIME3,ANNUAL4,HOURLY4,OVERTIME4,ANNUAL5,HOURLY5,OVERTIME5,ANNUAL6,HOURLY6,OVERTIME6,ANNUAL7,HOURLY7,OVERTIME7,ANNUAL8,HOURLY8,OVERTIME8,ANNUAL9,HOURLY9,OVERTIME9,ANNUAL10,HOURLY10,OVERTIME10
BOS,4,34750,16.65,24.98,35908,17.21,25.82,37066,17.76,26.64,38224,18.32,27.48,39382,18.87,28.31,40541,19.43,29.15,41699,19.98,29.97,42857,20.54,30.81,44015,21.09,31.64,45173,21.64,32.46
BOS,5,38879,18.63,27.95,40175,19.25,28.88,41471,19.87,29.81,42768,20.49,30.74,44064,21.11,31.67,45360,21.73,32.60,46656,22.36,33.54,47953,22.98,34.47,49249,23.60,35.40,50545,24.22,36.33
BOS,6,43338,20.77,31.16,44783,21.46,32.19,46228,22.15,33.23,47673,22.84,34.26,49117,23.53,35.30,50562,24.23,36.35,52007,24.92,37.38,53452,25.61,38.42,54896,26.30,39.45,56341,27.00,40.50
BOS,7,48159,23.08,34.62,49764,23.84,35.76,51369,24.61,36.92,52974,25.38,38.07,54579,26.15,39.23,56184,26.92,40.38,57788,27.69,41.54,59393,28.46,42.69,60998,29.23,43.85,62603,30.00,45.00
BOS,8,53335,25.56,38.34,55113,26.41,39.62,56891,27.26,40.89,58669,28.11,42.17,60447,28.96,43.44,62225,29.82,44.73,64002,30.67,46.01,65780,31.52,46.62,67558,32.37,46.62,69336,33.22,46.62
BOS,9,58909,28.23,42.35,60873,29.17,43.76,62837,30.11,45.17,64800,31.05,46.58,66764,31.99,46.62,68728,32.93,46.62,70692,33.87,46.62,72655,34.81,46.62,74619,35.75,46.62,76583,36.70,46.62
BOS,10,64873,31.08,46.62,67035,32.12,46.62,69198,33.16,46.62,71360,34.19,46.62,73523,35.23,46.62,75686,36.27,46.62,77848,37.30,46.62,80011,38.34,46.62,82173,39.37,46.62,84336,40.41,46.62
BOS,11,71274,34.15,46.62,73650,35.29,46.62,76025,36.43,46.62,78401,37.57,46.62,80776,38.70,46.62,83152,39.84,46.62,85528,40.98,46.62,87903,42.12,46.62,90279,43.26,46.62,92655,44.40,46.62
BOS,12,85428,40.93,46.62,88276,42.30,46.62,91125,43.66,46.62,93973,45.03,46.62,96821,46.39,46.62,99669,47.76,47.76,102517,49.12,49.12,105365,50.49,50.49,108214,51.85,51.85,111062,53.22,53.22
BOS,13,101585,48.68,48.68,104972,50.30,50.30,108358,51.92,51.92,111745,53.54,53.54,115131,55.17,55.17,118518,56.79,56.79,121904,58.41,58.41,125291,60.03,60.03,128677,61.66,61.66,132064,63.28,63.28
BOS,14,120043,57.52,57.52,124044,59.44,59.44,128045,61.35,61.35,132046,63.27,63.27,136047,65.19,65.19,140048,67.10,67.10,144049,69.02,69.02,148050,70.94,70.94,152052,72.86,72.86,156053,74.77,74.77
BOS,15,141202,67.66,67.66,145910,69.91,69.91,150617,72.17,72.17,155324,74.42,74.42,160032,76.68,76.68,164739,78.94,78.94,169447,81.19,81.19,170800,81.84,81.84,170800,81.84,81.84,170800,81.84,81.84
BU,1,23491,11.26,16.89,24278,11.63,17.45,25059,12.01,18.02,25836,12.38,18.57,26617,12.75,19.13,27074,12.97,19.46,27846,13.34,20.01,28624,13.72,20.58,28656,13.73,20.60,29386,14.08,21.12
